mark,model,description,fuel,km,year,gearbox,isofix,led,cruise_control,bluetooth,auto_clim,rear_cam,rear_rad,price
CITROEN,C3,PureTech 82ch Shine S&S E6.d,Essence /,17 860 km,/ 2019 /,Manuelle,1,0,1,0,1,0,1,12 799 €
RENAULT,Zoe,Zen charge normale R110 Achat Intégral - 20,Electrique /,50 065 km,/ 2020 /,Automatique,1,1,1,1,1,0,0,12 799 €
PEUGEOT,3008,HYBRID4 300ch GT Pack e-EAT8,Hybride /,14 456 km,/ 2021 /,Automatique,0,1,1,1,1,1,1,12 799 €
PEUGEOT,2008,1.2 PureTech 130ch S&S Style EAT8,Essence /,31 658 km,/ 2022 /,Automatique,1,1,1,1,1,0,1,12 799 €
DACIA,Sandero,1.0 ECO-G 100ch Stepway Expression +,Gpl /,13 344 km,/ 2023 /,Manuelle,0,1,1,1,1,1,1,12 799 €
DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2 - 20,Diesel /,29 813 km,/ 2020 /,Manuelle,1,0,1,1,1,1,1,12 799 €
CITROEN,C4,BlueHDi 130ch S&S Feel Pack EAT8 120g,Diesel /,69 947 km,/ 2021 /,Automatique,0,0,1,1,1,1,1,12 799 €
PEUGEOT,3008,1.5 BlueHDi 130ch S&S Allure Business EAT8,Diesel /,161 205 km,/ 2020 /,Automatique,0,1,1,1,1,0,1,12 799 €
PEUGEOT,208,1.2 PureTech 100ch S&S Active Pack 118g,Essence /,14 031 km,/ 2022 /,Manuelle,1,0,1,1,0,0,1,12 799 €
PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,Essence /,49 025 km,/ 2021 /,Automatique,1,1,0,1,1,1,1,12 799 €
RENAULT,Clio,1.0 TCe 90ch Intens -21,Essence /,34 134 km,/ 2021 /,Manuelle,1,1,1,1,1,0,1,12 799 €
PEUGEOT,3008,1.2 PureTech 130ch E6.c Allure S&S EAT8,Essence /,68 813 km,/ 2019 /,Automatique,1,0,1,1,1,0,1,12 799 €
RENAULT,Kadjar,1.5 Blue dCi 115ch Intens EDC,Diesel /,56 792 km,/ 2020 /,Automatique,0,1,1,1,1,1,1,12 799 €
CITROEN,C3,1.2 PureTech 83ch S&S Shine BVM,Essence /,15 267 km,/ 2023 /,Manuelle,0,0,1,1,1,0,1,12 799 €
RENAULT,Captur,1.6 E-Tech Plug-in 160ch Initiale Paris,Hybride R /,24 655 km,/ 2021 /,Automatique,0,0,1,1,1,1,1,12 799 €
PEUGEOT,208,1.2 PureTech 75ch S&S Like,Essence /,19 403 km,/ 2021 /,Manuelle,1,0,1,1,0,0,0,12 799 €
RENAULT,Megane,1.5 Blue dCi 115ch Evolution EDC -23,Diesel /,11 650 km,/ 2023 /,Automatique,1,1,1,1,1,0,1,12 799 €
RENAULT,Zoe,Life charge normale R110 Achat Intégral - 20,Electrique /,38 550 km,/ 2020 /,Automatique,1,1,1,1,0,0,0,12 799 €
RENAULT,Captur,1.0 TCe 100ch Evolution GPL,Gpl /,18 242 km,/ 2023 /,Manuelle,1,1,1,1,0,0,1,12 799 €
PEUGEOT,2008,1.2 PureTech 100ch S&S Allure,Essence /,34 020 km,/ 2021 /,Manuelle,1,1,1,1,1,0,1,12 799 €
PEUGEOT,208,e-208 136ch Active,Electrique /,13 272 km,/ 2021 /,Automatique,1,0,1,1,1,0,0,12 799 €
MINI,Mini,Cooper S 178ch Premium,Essence /,26 549 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,12 799 €
PEUGEOT,208,1.2 PureTech 100ch S&S Allure EAT8,Essence /,9 936 km,/ 2022 /,Automatique,1,1,1,1,1,0,1,12 799 €
PEUGEOT,3008,1.5 BlueHDi 130ch S&S GT EAT8,Diesel /,15 462 km,/ 2023 /,Automatique,0,1,1,1,1,1,1,12 799 €
DACIA,Duster,1.5 Blue dCi 115ch Extreme 4x2,Diesel /,29 220 km,/ 2022 /,Manuelle,1,0,1,1,1,1,1,12 799 €
PEUGEOT,208,e-208 136ch Active,Electrique /,26 655 km,/ 2021 /,Automatique,1,0,1,1,1,0,0,12 799 €
RENAULT,Megane,E-Tech Electric EV40 130ch Equilibre standard charge,Electrique /,11 000 km,/ 2022 /,Automatique,1,1,1,1,0,1,1,12 799 €
DACIA,Sandero,1.0 TCe 90ch Stepway Expression,Essence /,11 497 km,/ 2023 /,Manuelle,1,1,1,1,0,0,1,12 799 €
PEUGEOT,308,1.2 PureTech 130ch S&S Allure EAT8 7cv,Essence /,23 145 km,/ 2021 /,Automatique,1,0,1,1,1,0,1,12 799 €
DACIA,Duster,1.5 Blue dCi 115ch Prestige 4x2,Diesel /,81 305 km,/ 2019 /,Manuelle,1,0,1,1,1,1,1,12 799 €
PEUGEOT,308,1.5 BlueHDi 130ch S&S Active Pack EAT8,Diesel /,41 411 km,/ 2022 /,Automatique,1,1,1,0,1,0,1,24 299 €
RENAULT,Clio,1.0 TCe 90ch Techno,Essence /,17 663 km,/ 2023 /,Manuelle,0,1,1,1,1,1,1,24 299 €
PEUGEOT,208,1.2 PureTech 100ch S&S Allure EAT8,Essence /,14 920 km,/ 2023 /,Automatique,0,1,1,1,1,0,1,24 299 €
MINI,Mini,Cooper S 178ch Edition Camden BVA7,Essence /,33 796 km,/ 2021 /,Automatique,0,1,1,1,1,0,1,24 299 €
MINI,Mini,One 102ch Edition Greenwich BVA7,Essence /,40 367 km,/ 2020 /,Automatique,0,1,1,1,1,0,1,24 299 €
PEUGEOT,208,1.2 PureTech 100ch S&S Allure 118g,Essence /,11 103 km,/ 2022 /,Manuelle,1,1,1,1,1,0,1,24 299 €
RENAULT,Arkana,1.3 TCe mild hybrid 160ch RS Line EDC -22,Essence M /,6 566 km,/ 2023 /,Automatique,0,0,1,1,1,1,1,24 299 €
PEUGEOT,308,1.2 PureTech 130ch S&S GT EAT8,Essence /,29 902 km,/ 2020 /,Automatique,1,1,0,1,1,1,1,24 299 €
PEUGEOT,2008,1.2 PureTech 130ch S&S Allure Pack,Essence /,11 800 km,/ 2023 /,Manuelle,1,1,1,1,1,0,1,24 299 €
PEUGEOT,3008,HYBRID 225ch Allure Pack e-EAT8,Hybride /,33 205 km,/ 2021 /,Automatique,0,1,1,1,1,1,1,24 299 €
RENAULT,Twingo,1.0 SCe 65ch Life - 20,Essence /,52 427 km,/ 2020 /,Manuelle,1,0,0,0,0,0,0,24 299 €
RENAULT,Clio,1.6 E-Tech hybride 140ch Business -21N,Hybride /,31 109 km,/ 2021 /,Automatique,1,1,1,1,0,0,1,24 299 €
RENAULT,Captur,1.0 TCe 90ch Intens -21,Essence /,38 779 km,/ 2021 /,Manuelle,1,1,1,1,1,0,1,24 299 €
DACIA,Sandero,1.0 ECO-G 100ch Stepway Essentiel,Gpl /,33 803 km,/ 2021 /,Manuelle,1,1,1,1,0,0,0,24 299 €
NISSAN,Qashqai,1.3 Mild Hybrid 158ch Tekna Xtronic,Essence M /,42 923 km,/ 2021 /,Automatique,0,0,1,1,1,1,1,24 299 €
RENAULT,Captur,1.6 E-Tech hybride 145ch Intens -21,Hybride /,37 774 km,/ 2022 /,Automatique,1,1,1,1,1,0,1,24 299 €
DACIA,Duster,1.0 ECO-G 100ch Prestige 4x2 - E6U,Gpl /,44 304 km,/ 2021 /,Manuelle,1,0,1,1,1,1,1,24 299 €
RENAULT,Clio,1.3 TCe 140ch RS Line,Essence /,5 645 km,/ 2023 /,Manuelle,0,1,1,1,1,1,1,24 299 €
NISSAN,Qashqai,1.5 dCi 115ch Tekna 2019 Euro6-EVAP,Diesel /,44 853 km,/ 2021 /,Manuelle,0,0,1,1,1,1,1,24 299 €
RENAULT,Clio,1.0 TCe 90ch Techno,Essence /,12 517 km,/ 2023 /,Manuelle,0,1,1,1,1,1,1,24 299 €
PEUGEOT,3008,1.2 PureTech 130ch GT Line S&S EAT8 6cv,Essence /,56 510 km,/ 2019 /,Automatique,0,1,1,1,1,0,1,24 299 €
CITROEN,C5 Aircross,Hybrid rechargeable 225ch C-Series ë-EAT8,Hybride R /,28 631 km,/ 2022 /,Automatique,0,1,1,1,1,1,1,24 299 €
CITROEN,C4,Moteur électrique 136ch (100 kW) Feel Pack Automatique,Electrique /,29 252 km,/ 2020 /,Automatique,0,0,1,1,1,1,1,24 299 €
